GENDER,CGPA,ACTIVE BACKLOG,COMMUNICATION SKILL,CODING SKILL,APTITUDE SKILLS,APPLIED PROFILE,PROJECT,INTERNSHIP,PLACED
Female,8.22,No,8,6,8,DATA SCIENTIST/ANALYST,Yes,No,Yes
Female,7.55,No,7,8,9,DATA SCIENTIST/ANALYST,Yes,No,No
Female,7.55,No,7,8,9,DATA SCIENTIST/ANALYST,Yes,No,No
Male,8.08,No,7,6,6,DATA SCIENTIST/ANALYST,Yes,Yes,Yes
Male,6.94,No,7,9,9,SDE,Yes,No,No
Female,7.61,No,7,7,7,DATA SCIENTIST/ANALYST,Yes,No,Yes
Female,8.74,No,7,7,7,SDE,Yes,No,Yes
Female,7.32,No,9,7,8,DATA SCIENTIST/ANALYST,Yes,No,No
Female,7.9,No,8,7,7,SDE,Yes,No,Yes
Male,8.1,No,7,1,10,CORE,Yes,No,No
Male,7.95,No,7,7,7,DATA SCIENTIST/ANALYST,Yes,No,Yes
Male,7.56,No,8,6,7,DATA SCIENTIST/ANALYST,Yes,No,Yes
Male,8,No,2,1,1,CORE,No,No,Yes
Male,6.2,No,8,7,8,SDE,No,Yes,No
Male,9.85,No,9,9,9,CORE,Yes,Yes,Yes
Male,8.07,No,7,7,6,SDE,Yes,No,Yes
Male,9,No,10,10,10,"SDE, DATA SCIENTIST/ANALYST, MANAGEMENT, CORE",Yes,Yes,Yes
Male,7,No,5,5,5,"SDE, CORE",No,No,No
Male,6.4,No,6,5,4,SDE,No,No,No
Male,6.43,No,8,2,7,DATA SCIENTIST/ANALYST,Yes,No,No
Male,8.55,No,8,1,7,CORE,Yes,No,Yes
Male,9.6,No,7,7,8,"SDE, DATA SCIENTIST/ANALYST",Yes,No,Yes
Male,8.85,No,7,8,8,SDE,No,No,No
Male,7.56,No,8,7,8,"SDE, DATA SCIENTIST/ANALYST",No,No,Yes
Male,6.6,No,6,5,7,SDE,No,No,No
Male,7.4,No,8,8,8,SDE,Yes,Yes,Yes
Female,8.72,No,8,6,4,DATA SCIENTIST/ANALYST,Yes,No,Yes
Male,8.49,No,8,7,9,"SDE, DATA SCIENTIST/ANALYST, CORE",Yes,Yes,Yes
Male,8.79,No,8,7,8,DATA SCIENTIST/ANALYST,Yes,Yes,No
Male,9.04,No,6,3,7,CORE,Yes,No,Yes
Male,7.08,No,8,5,7,DATA SCIENTIST/ANALYST,Yes,No,Yes
Female,9,No,7,3,7,CORE,No,No,No
Male,8.7,No,9,8,8,"SDE, DATA SCIENTIST/ANALYST",Yes,No,Yes
Male,8.23,No,7,8,9,SDE,Yes,Yes,No
Male,8.51,No,7,7,8,"SDE, DATA SCIENTIST/ANALYST",Yes,Yes,Yes
Male,8.9,No,10,9,10,"DATA SCIENTIST/ANALYST, CORE",Yes,No,No
Male,8.8,No,8,8,8,CORE,Yes,No,Yes
Male,8.17,No,7,3,9,DATA SCIENTIST/ANALYST,Yes,No,Yes
Male,8.35,No,8,8,9,DATA SCIENTIST/ANALYST,Yes,Yes,No
Male,8.43,No,8,8,8,"DATA SCIENTIST/ANALYST, CORE",Yes,Yes,No
Male,9.56,No,8,8,8,CORE,Yes,No,Yes
Male,6.88,No,7,6,8,"SDE, DATA SCIENTIST/ANALYST",Yes,No,Yes
Male,8.93,No,5,3,7,CORE,Yes,No,Yes
Male,9.68,No,7,4,4,CORE,No,No,Yes
Male,8.87,No,10,8,9,CORE,Yes,Yes,Yes
Male,8.7,No,7,6,8,CORE,Yes,No,Yes
Male,7.8,No,9,4,8,MANAGEMENT,Yes,Yes,Yes
Male,7.72,No,7,8,9,"SDE, DATA SCIENTIST/ANALYST",Yes,No,No
Male,7.83,No,7,6,8,"DATA SCIENTIST/ANALYST, CORE",Yes,No,Yes
Male,7.8,No,9,3,8,CORE,Yes,Yes,Yes
Male,8.4,No,7,6,8,"SDE, DATA SCIENTIST/ANALYST, MANAGEMENT, CORE",Yes,Yes,No
Male,8.1,No,6,5,5,DATA SCIENTIST/ANALYST,Yes,No,No
Male,8.74,No,8,5,9,CORE,Yes,Yes,No
Male,8.22,No,8,2,9,CORE,Yes,No,Yes
Male,8.96,No,7,8,6,"SDE, DATA SCIENTIST/ANALYST",Yes,No,Yes
Male,8.28,No,5,8,8,DATA SCIENTIST/ANALYST,Yes,No,Yes
